opponent_bot,round,cumulative_ks,is_adapting_now
CunobelinDC 1.2,17,0.09348961478082357,0
CunobelinDC 1.2,18,0.09353797463427338,0
CunobelinDC 1.2,19,0.09234236817268311,0
CunobelinDC 1.2,20,0.090957374378937,0
CunobelinDC 1.2,21,0.09233944140268746,0
CunobelinDC 1.2,22,0.09323180838793939,0
CunobelinDC 1.2,23,0.09636299007316357,0
CunobelinDC 1.2,24,0.09776488364668479,0
CunobelinDC 1.2,25,0.09810022525878098,0
CunobelinDC 1.2,26,0.09804482170224671,0
CunobelinDC 1.2,27,0.09895460565522213,0
CunobelinDC 1.2,28,0.09833358559889022,0
CunobelinDC 1.2,29,0.09917939165555895,0
CunobelinDC 1.2,30,0.09833814628499654,0
CunobelinDC 1.2,31,0.09546770470223137,0
CunobelinDC 1.2,32,0.09544919950060055,0
CunobelinDC 1.2,33,0.09491667186359351,0
CunobelinDC 1.2,34,0.09495805795376588,0
Cyanide 1.90,1,0.07534766467782077,0
Cyanide 1.90,2,0.043138572688705,0
Cyanide 1.90,3,0.060622405258964375,0
Cyanide 1.90,4,0.04429010742410705,0
Cyanide 1.90,5,0.03893745594221293,0
Cyanide 1.90,6,0.038709645306760375,0
Cyanide 1.90,7,0.03941240651713483,0
Cyanide 1.90,8,0.04043316559559748,0
Cyanide 1.90,9,0.039036930561698366,0
Cyanide 1.90,10,0.03695841307055951,0
Cyanide 1.90,11,0.03813809489524084,0
Cyanide 1.90,12,0.034288868546194486,0
Cyanide 1.90,13,0.03645102799638888,0
Cyanide 1.90,14,0.03593199042341855,0
Cyanide 1.90,15,0.036320698372267146,0
Cyanide 1.90,16,0.0364968994928091,0
Cyanide 1.90,17,0.035256518956596095,0
Cyanide 1.90,18,0.035003529481311135,0
Cyanide 1.90,19,0.038842709805296194,0
Cyanide 1.90,20,0.037596567415380144,0
Cyanide 1.90,21,0.03878224974200206,0
Cyanide 1.90,22,0.03902083468646933,0
Cyanide 1.90,23,0.0384921907138171,0
Cyanide 1.90,24,0.03778825187530804,0
